Image,Average_RGB,Average_HEX,Dominant_RGB,Dominant_HEX,Darkest_RGB,Darkest_HEX,Brightest_RGB,Brightest_HEX
T0.png,"(122, 108, 81, 229)",#7a6c51,"(137, 120, 89)",#897859,"(0, 0, 0, 0)",#000000,"(249, 250, 239, 255)",#f9faef
T1.png,"(135, 120, 91, 211)",#87785b,"(176, 158, 121)",#b09e79,"(0, 0, 0, 0)",#000000,"(255, 255, 250, 255)",#fffffa
T2.png,"(133, 119, 89, 210)",#857759,"(177, 160, 121)",#b1a079,"(0, 0, 0, 0)",#000000,"(255, 255, 242, 255)",#fffff2
T3.png,"(122, 105, 79, 208)",#7a694f,"(179, 157, 120)",#b39d78,"(0, 0, 0, 0)",#000000,"(247, 250, 239, 255)",#f7faef
T4.png,"(121, 106, 80, 197)",#796a50,"(159, 140, 106)",#9f8c6a,"(0, 0, 0, 0)",#000000,"(247, 240, 219, 255)",#f7f0db
T5.png,"(120, 110, 92, 159)",#786e5c,"(193, 179, 149)",#c1b395,"(0, 0, 0, 0)",#000000,"(255, 255, 242, 255)",#fffff2
T6.png,"(151, 141, 120, 186)",#978d78,"(214, 202, 176)",#d6cab0,"(0, 0, 0, 0)",#000000,"(255, 255, 254, 255)",#fffffe
T7.png,"(159, 150, 127, 191)",#9f967f,"(216, 205, 177)",#d8cdb1,"(0, 0, 0, 0)",#000000,"(255, 255, 255, 255)",#ffffff
T8.png,"(176, 165, 142, 205)",#b0a58e,"(216, 204, 176)",#d8ccb0,"(0, 0, 0, 0)",#000000,"(255, 255, 255, 255)",#ffffff
